Package Name,Version,License,Link,NPM Link
@nestjs/common,11.0.11,MIT,https://github.com/nestjs/nest,https://www.npmjs.com/package/@nestjs/common
@nestjs/config,4.0.1,MIT,https://github.com/nestjs/config,https://www.npmjs.com/package/@nestjs/config
@nestjs/core,11.0.11,MIT,https://github.com/nestjs/nest,https://www.npmjs.com/package/@nestjs/core
@nestjs/platform-express,11.0.11,MIT,https://github.com/nestjs/nest,https://www.npmjs.com/package/@nestjs/platform-express
@nestjs/schedule,5.0.1,MIT,https://github.com/nestjs/schedule,https://www.npmjs.com/package/@nestjs/schedule
@nestjs/swagger,11.0.6,MIT,https://github.com/nestjs/swagger,https://www.npmjs.com/package/@nestjs/swagger
@nestjs/terminus,11.0.0,MIT,https://github.com/nestjs/terminus,https://www.npmjs.com/package/@nestjs/terminus
@nestjs/throttler,6.4.0,MIT,https://github.com/nestjs/throttler,https://www.npmjs.com/package/@nestjs/throttler
axios,1.8.3,MIT,https://github.com/axios/axios,https://www.npmjs.com/package/axios
cache-manager,6.4.1,MIT,https://github.com/jaredwray/cacheable,https://www.npmjs.com/package/cache-manager
class-transformer,0.5.1,MIT,https://github.com/typestack/class-transformer,https://www.npmjs.com/package/class-transformer
class-validator,0.14.1,MIT,https://github.com/typestack/class-validator,https://www.npmjs.com/package/class-validator
crypto,1.0.1,ISC,https://github.com/npm/deprecate-holder,https://www.npmjs.com/package/crypto
dotenv,16.4.7,BSD-2-Clause,git://github.com/motdotla/dotenv,https://www.npmjs.com/package/dotenv
drizzle-kit,0.30.5,MIT,https://github.com/drizzle-team/drizzle-orm,https://www.npmjs.com/package/drizzle-kit
drizzle-orm,0.40.1,Apache-2.0,https://github.com/drizzle-team/drizzle-orm,https://www.npmjs.com/package/drizzle-orm
envalid,8.0.0,MIT,https://github.com/af/envalid,https://www.npmjs.com/package/envalid
ethers,6.13.5,MIT,git://github.com/ethers-io/ethers.js,https://www.npmjs.com/package/ethers
express-ctx,0.1.1,MIT,https://github.com/iamolegga/express-ctx,https://www.npmjs.com/package/express-ctx
graphql,16.10.0,MIT,https://github.com/graphql/graphql-js,https://www.npmjs.com/package/graphql
lodash,4.17.21,MIT,https://github.com/lodash/lodash,https://www.npmjs.com/package/lodash
module-alias,2.2.3,MIT,https://github.com/ilearnio/module-alias,https://www.npmjs.com/package/module-alias
nest-commander,3.17.0,MIT,https://github.com/jmcdo29/nest-commander,https://www.npmjs.com/package/nest-commander
pg,8.14.1,MIT,git://github.com/brianc/node-postgres,https://www.npmjs.com/package/pg
royco,0.9.531,MIT,https://github.com/roycoprotocol/royco-sdk,https://www.npmjs.com/package/royco
rxjs,7.8.2,Apache-2.0,https://github.com/reactivex/rxjs,https://www.npmjs.com/package/rxjs
tsx,4.19.3,MIT,https://github.com/privatenumber/tsx,https://www.npmjs.com/package/tsx
uuid,11.1.0,MIT,https://github.com/uuidjs/uuid,https://www.npmjs.com/package/uuid
viem,2.23.12,MIT,https://github.com/wevm/viem,https://www.npmjs.com/package/viem
@nestjs/cli,11.0.5,MIT,https://github.com/nestjs/nest-cli,https://www.npmjs.com/package/@nestjs/cli
@nestjs/schematics,11.0.2,MIT,https://github.com/nestjs/schematics,https://www.npmjs.com/package/@nestjs/schematics
@nestjs/testing,11.0.11,MIT,https://github.com/nestjs/nest,https://www.npmjs.com/package/@nestjs/testing
@types/express,5.0.0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/express
@types/jest,29.5.14,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/jest
@types/node,22.13.10,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/node
@types/pg,8.11.11,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/pg
@types/supertest,6.0.2,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/supertest
@typescript-eslint/eslint-plugin,8.26.1,MIT,https://github.com/typescript-eslint/typescript-eslint,https://www.npmjs.com/package/@typescript-eslint/eslint-plugin
@typescript-eslint/parser,8.26.1,MIT,https://github.com/typescript-eslint/typescript-eslint,https://www.npmjs.com/package/@typescript-eslint/parser
eslint,9.22.0,MIT,https://github.com/eslint/eslint,https://www.npmjs.com/package/eslint
eslint-config-prettier,10.1.1,MIT,https://github.com/prettier/eslint-config-prettier,https://www.npmjs.com/package/eslint-config-prettier
eslint-plugin-prettier,5.2.3,MIT,https://github.com/prettier/eslint-plugin-prettier,https://www.npmjs.com/package/eslint-plugin-prettier
jest,29.7.0,MIT,https://github.com/jestjs/jest,https://www.npmjs.com/package/jest
prettier,3.5.3,MIT,https://github.com/prettier/prettier,https://www.npmjs.com/package/prettier
source-map-support,0.5.21,MIT,https://github.com/evanw/node-source-map-support,https://www.npmjs.com/package/source-map-support
supertest,7.0.0,MIT,https://github.com/ladjs/supertest,https://www.npmjs.com/package/supertest
ts-jest,29.2.6,MIT,https://github.com/kulshekhar/ts-jest,https://www.npmjs.com/package/ts-jest
ts-loader,9.5.2,MIT,https://github.com/TypeStrong/ts-loader,https://www.npmjs.com/package/ts-loader
ts-node,10.9.2,MIT,git://github.com/TypeStrong/ts-node,https://www.npmjs.com/package/ts-node
tsconfig-paths,4.2.0,MIT,https://github.com/dividab/tsconfig-paths,https://www.npmjs.com/package/tsconfig-paths
typescript,5.8.2,Apache-2.0,https://github.com/microsoft/TypeScript,https://www.npmjs.com/package/typescript
