Package Name,Version,License,Link,NPM Link
@blockaid/client,0.43.0,Apache-2.0,https://github.com/blockaid-official/blockaid-client-node,https://www.npmjs.com/package/@blockaid/client
@celo/compliance,1.0.25,Apache-2.0,https://github.com/celo-org/compliance,https://www.npmjs.com/package/@celo/compliance
@ensofinance/shortcuts-widget,0.2.56,MIT,https://github.com/EnsoFinance/shortcuts-widget,https://www.npmjs.com/package/@ensofinance/shortcuts-widget
@ethersproject/providers,5.8.0,MIT,git://github.com/ethers-io/ethers.js,https://www.npmjs.com/package/@ethersproject/providers
@hello-pangea/dnd,18.0.1,Apache-2.0,https://github.com/hello-pangea/dnd,https://www.npmjs.com/package/@hello-pangea/dnd
@hookform/resolvers,4.1.3,MIT,https://github.com/react-hook-form/resolvers,https://www.npmjs.com/package/@hookform/resolvers
@marsidev/react-turnstile,1.1.0,MIT,https://github.com/marsidev/react-turnstile,https://www.npmjs.com/package/@marsidev/react-turnstile
@number-flow/react,0.5.7,MIT,https://github.com/barvian/number-flow,https://www.npmjs.com/package/@number-flow/react
@octokit/rest,21.1.1,MIT,https://github.com/octokit/rest.js,https://www.npmjs.com/package/@octokit/rest
@radix-ui/react-accordion,1.2.3,MIT,https://github.com/radix-ui/primitives,https://www.npmjs.com/package/@radix-ui/react-accordion
@radix-ui/react-avatar,1.1.3,MIT,https://github.com/radix-ui/primitives,https://www.npmjs.com/package/@radix-ui/react-avatar
@radix-ui/react-dialog,1.1.6,MIT,https://github.com/radix-ui/primitives,https://www.npmjs.com/package/@radix-ui/react-dialog
@radix-ui/react-dropdown-menu,2.1.6,MIT,https://github.com/radix-ui/primitives,https://www.npmjs.com/package/@radix-ui/react-dropdown-menu
@radix-ui/react-hover-card,1.1.6,MIT,https://github.com/radix-ui/primitives,https://www.npmjs.com/package/@radix-ui/react-hover-card
@radix-ui/react-icons,1.3.2,MIT,,https://www.npmjs.com/package/@radix-ui/react-icons
@radix-ui/react-label,2.1.2,MIT,https://github.com/radix-ui/primitives,https://www.npmjs.com/package/@radix-ui/react-label
